case,dice,mean_conf_pred,max_prob,pred_vol_ml,gt_pos
BIRCAD_001,0.8453600323831874,0.9620947241783142,0.999996542930603,176058.0,214268
BIRCAD_002,0.0,,0.3890966773033142,0.0,14062
BIRCAD_003,0.0,,0.1424703449010849,0.0,14252
BIRCAD_004,0.21887788778877887,0.7095797657966614,0.8934024572372437,839.0,6736
BIRCAD_005,0.5869568374227339,0.8979188203811646,0.9995452761650085,185052.0,434721
BIRCAD_006,0.0,,0.12770701944828033,0.0,20318
BIRCAD_007,0.6933394852189961,0.8957470655441284,0.9992591738700867,21202.0,39484
BIRCAD_008,0.4496053888302418,0.9464763402938843,0.9999382495880127,4912.0,14981
BIRCAD_009,0.0031013252157194846,0.7010715007781982,0.9224823713302612,542.0,348986
BIRCAD_010,0.6665477397948002,0.9257124066352844,0.9998339414596558,73719.0,122480
BIRCAD_011,0.0,,0.25109636783599854,0.0,1638
BIRCAD_012,0.0,,0.17384852468967438,0.0,7337
BIRCAD_013,0.5900069752927788,0.9313755035400391,0.9996323585510254,86400.0,185990
BIRCAD_014,0.0,0.518046498298645,0.593403160572052,490.0,4539
BIRCAD_015,0.028466701575665256,0.6200942397117615,0.7696433663368225,598.0,41416
